id,title,status,createdOn,closedOn,blocked,blockedBy,blockedSince,resumedAt,timeBlocked,blockReason,owner,handedTo,ticketType,sprint,team,timeInDev,Event_Log
T-1000,Feature 0,Done,2025-06-07,2025-06-12,FALSE,,,,,,Alice,Bob,Story,Sprint 22,Alpha,1d 5h,"[{""status"":""To Do"",""timestamp"":""2025-06-07T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-08T10:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-12T15:00:00Z"",""by"":""Bob""}]"
T-1001,Feature 1,Blocked,2025-06-12,,FALSE,,,,,,Charlie,Charlie,Bug,,Beta,4d 14h,"[{""status"":""To Do"",""timestamp"":""2025-06-12T08:00:00Z"",""by"":""Charlie""},{""status"":""Blocked"",""timestamp"":""2025-06-13T12:00:00Z"",""by"":""Charlie"",""reason"":""Dependency""}]"
T-1002,Feature 2,Done,2025-06-02,2025-06-11,FALSE,,,,,,Eve,Alice,Bug,Sprint 21,Alpha,5d 19h,"[{""status"":""To Do"",""timestamp"":""2025-06-02T09:00:00Z"",""by"":""Eve""},{""status"":""In Progress"",""timestamp"":""2025-06-03T10:00:00Z"",""by"":""Eve""},{""status"":""Done"",""timestamp"":""2025-06-11T17:00:00Z"",""by"":""Alice""}]"
T-1003,Feature 3,Done,2025-06-04,2025-06-12,TRUE,Reliance,2025-06-05,2025-06-09,4d 0h,Waiting on dependency,Alice,Eve,Story,,Gamma,4d 2h,"[{""status"":""To Do"",""timestamp"":""2025-06-04T09:00:00Z"",""by"":""Alice""},{""status"":""In Progress"",""timestamp"":""2025-06-05T10:00:00Z"",""by"":""Alice""},{""status"":""Blocked"",""timestamp"":""2025-06-05T12:00:00Z"",""by"":""Alice"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-09T09:00:00Z"",""by"":""Alice""},{""status"":""Done"",""timestamp"":""2025-06-12T15:00:00Z"",""by"":""Eve""}]"
T-1004,Feature 4,To Do,2025-06-16,,FALSE,,,,,,Charlie,Eve,Bug,Sprint 20,Alpha,0d 11h,"[{""status"":""To Do"",""timestamp"":""2025-06-16T09:00:00Z"",""by"":""Charlie""}]"
T-1005,Feature 5,Done,2025-06-12,2025-06-21,TRUE,,2025-06-13,2025-06-18,5d 0h,Waiting on dependency,Charlie,Bob,Story,Sprint 21,Alpha,4d 8h,"[{""status"":""To Do"",""timestamp"":""2025-06-12T09:00:00Z"",""by"":""Charlie""},{""status"":""In Progress"",""timestamp"":""2025-06-13T10:00:00Z"",""by"":""Charlie""},{""status"":""Blocked"",""timestamp"":""2025-06-13T12:00:00Z"",""by"":""Charlie"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-18T09:00:00Z"",""by"":""Charlie""},{""status"":""Done"",""timestamp"":""2025-06-21T15:00:00Z"",""by"":""Bob""}]"
T-1006,Feature 6,Done,2025-06-10,2025-06-12,TRUE,Success Team,2025-06-11,2025-06-13,2d 0h,Waiting on dependency,Eve,Charlie,Story,,Alpha,4d 18h,"[{""status"":""To Do"",""timestamp"":""2025-06-10T09:00:00Z"",""by"":""Eve""},{""status"":""In Progress"",""timestamp"":""2025-06-11T10:00:00Z"",""by"":""Eve""},{""status"":""Blocked"",""timestamp"":""2025-06-11T12:00:00Z"",""by"":""Eve"",""blockedBy"":""Success Team"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-13T09:00:00Z"",""by"":""Eve""},{""status"":""Done"",""timestamp"":""2025-06-12T15:00:00Z"",""by"":""Charlie""}]"
T-1007,Feature 7,Done,2025-06-04,2025-06-10,TRUE,Reliance,2025-06-05,2025-06-10,5d 0h,Waiting on dependency,Bob,Dana,Bug,,Gamma,5d 23h,"[{""status"":""To Do"",""timestamp"":""2025-06-04T09:00:00Z"",""by"":""Bob""},{""status"":""In Progress"",""timestamp"":""2025-06-05T10:00:00Z"",""by"":""Bob""},{""status"":""Blocked"",""timestamp"":""2025-06-05T12:00:00Z"",""by"":""Bob"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-10T09:00:00Z"",""by"":""Bob""},{""status"":""Done"",""timestamp"":""2025-06-10T15:00:00Z"",""by"":""Dana""}]"
T-1008,Feature 8,Done,2025-06-07,2025-06-15,TRUE,Reliance,2025-06-08,2025-06-10,2d 0h,Waiting on dependency,Bob,Bob,Bug,Sprint 22,Alpha,0d 16h,"[{""status"":""To Do"",""timestamp"":""2025-06-07T09:00:00Z"",""by"":""Bob""},{""status"":""In Progress"",""timestamp"":""2025-06-08T10:00:00Z"",""by"":""Bob""},{""status"":""Blocked"",""timestamp"":""2025-06-08T12:00:00Z"",""by"":""Bob"",""blockedBy"":""Reliance"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-10T09:00:00Z"",""by"":""Bob""},{""status"":""Done"",""timestamp"":""2025-06-15T15:00:00Z"",""by"":""Bob""}]"
T-1009,Feature 9,Done,2025-06-12,2025-06-14,TRUE,QA,2025-06-13,2025-06-14,1d 0h,Waiting on dependency,Charlie,Bob,Infra,,Beta,2d 6h,"[{""status"":""To Do"",""timestamp"":""2025-06-12T09:00:00Z"",""by"":""Charlie""},{""status"":""In Progress"",""timestamp"":""2025-06-13T10:00:00Z"",""by"":""Charlie""},{""status"":""Blocked"",""timestamp"":""2025-06-13T12:00:00Z"",""by"":""Charlie"",""blockedBy"":""QA"",""reason"":""Waiting on dependency""},{""status"":""Unblocked"",""timestamp"":""2025-06-14T09:00:00Z"",""by"":""Charlie""},{""status"":""Done"",""timestamp"":""2025-06-14T15:00:00Z"",""by"":""Bob""}]"
